Hospital_ID,District,City,State,City_Type,Hospital_Name,Reference_Period_AU595,Total_Beds,ICU_Beds,Non_ICU_Beds,Available_Beds,ICU_Rooms,General_Ward_Rooms,Private_Rooms,Semi_Private_Rooms,Emergency_Rooms,Operation_Theatres,Isolation_Rooms,Total_Rooms,Ventilators,Oxygen_Concentrators,ECG_Machines,Defibrillators,Pulse_Oximeters,CT_Scan,X_Ray_Machines,Ultrasound_Units,Blood_Analyzers,Patient_Monitors,Doctors_General_Physician,Doctors_Pulmonologist,Doctors_Cardiologist,Doctors_Intensivist,Doctors_Anesthesiologist,Doctors_Surgeon,Doctors_Radiologist,Doctors_Neurologist,Doctors_Orthopedic,Doctors_Pediatrician,Total_Doctors,Assurance_Available_Time,AU595_State_Rural_Hospitals,AU595_State_Urban_Hospitals,AU595_State_Total_Hospitals,AU595_State_Rural_Beds,AU595_State_Urban_Beds,AU595_State_Total_Beds
MH-1093,Mumbai Suburban,Badlapur,Maharashtra,Semi-Urban,Central Hospital & ICU Badlapur,31.08.2020,18,5,13,13,1,2,2,1,1,1,2,10,6,12,3,1,22,0,2,1,3,10,3,1,1,1,1,1,2,0,2,1,13,40 minutes,365,149,514,10950,22078,33028
MH-1094,Mumbai Suburban,Badlapur,Maharashtra,Semi-Urban,Seva Medical Trust Badlapur,31.08.2020,16,4,12,10,1,2,1,1,1,1,2,9,4,8,2,1,20,0,2,1,1,9,2,2,1,1,1,1,2,1,0,0,11,52 minutes,365,149,514,10950,22078,33028
MH-1095,Mumbai Suburban,Badlapur,Maharashtra,Semi-Urban,Seva Health Care Badlapur,31.08.2020,41,8,33,31,2,5,3,4,1,1,3,19,7,23,3,5,51,1,2,2,2,24,4,3,1,1,2,1,2,1,0,1,16,15 minutes,365,149,514,10950,22078,33028
MH-1096,Mumbai Suburban,Murbad,Maharashtra,Rural,Public Trauma Centre Murbad,31.08.2020,25,3,22,16,1,3,3,2,1,1,2,13,4,15,3,1,28,1,2,1,2,15,4,1,1,1,1,2,2,1,1,0,14,35 minutes,365,149,514,10950,22078,33028
MH-1097,Mumbai Suburban,Murbad,Maharashtra,Rural,Sub-District Trauma Centre Murbad,31.08.2020,24,4,20,24,1,3,3,2,1,1,2,13,5,12,2,3,24,1,1,2,1,14,4,1,1,1,1,1,1,1,1,0,12,37 minutes,365,149,514,10950,22078,33028
MH-1098,Mumbai Suburban,Shahapur,Maharashtra,Rural,Primary Hospital & ICU Shahapur,31.08.2020,14,2,12,9,1,2,1,2,1,1,3,11,2,11,3,1,22,0,3,2,1,8,2,1,1,1,1,1,2,1,1,1,12,52 minutes,365,149,514,10950,22078,33028
MH-1099,Mumbai Suburban,Shahapur,Maharashtra,Rural,Swasthya Medical Trust Shahapur,31.08.2020,19,3,16,18,1,2,1,1,1,1,2,9,4,14,2,1,25,0,2,2,3,11,3,1,1,1,1,1,2,1,2,1,14,45 minutes,365,149,514,10950,22078,33028
MH-1100,Mumbai Suburban,Vasai,Maharashtra,Semi-Urban,Municipal Nursing Home Vasai,31.08.2020,55,9,46,34,2,7,6,4,1,1,2,23,8,31,2,2,60,1,1,1,3,33,4,3,1,1,1,2,1,0,2,1,16,16 minutes,365,149,514,10950,22078,33028
MH-1101,Mumbai Suburban,Vasai,Maharashtra,Semi-Urban,Arogya Hospital & ICU Vasai,31.08.2020,44,11,33,42,2,5,5,4,1,1,5,23,9,26,4,5,50,1,2,1,3,26,4,3,2,2,1,2,2,1,0,2,19,17 minutes,365,149,514,10950,22078,33028
MH-1102,Mumbai Suburban,Vasai,Maharashtra,Semi-Urban,General Nursing Home Vasai,31.08.2020,43,11,32,39,2,5,5,4,1,1,3,21,10,24,3,3,44,1,1,1,2,25,4,3,2,2,1,1,1,0,1,1,16,17 minutes,365,149,514,10950,22078,33028
MH-1103,Mumbai Suburban,Vasai,Maharashtra,Semi-Urban,Central General Hospital Vasai,31.08.2020,28,6,22,22,1,3,2,1,1,1,4,13,4,16,3,4,29,1,3,1,3,16,4,1,1,1,1,1,2,1,1,1,14,29 minutes,365,149,514,10950,22078,33028
MH-1104,Mumbai Suburban,Virar,Maharashtra,Semi-Urban,Township Nursing Home Virar,31.08.2020,32,7,25,28,1,4,2,2,1,2,3,15,5,21,3,2,39,1,1,1,2,19,3,2,1,1,1,2,2,1,1,2,16,25 minutes,365,149,514,10950,22078,33028
MH-1105,Mumbai Suburban,Virar,Maharashtra,Semi-Urban,Health Super Speciality Hospital Virar,31.08.2020,34,13,21,30,3,3,4,2,1,1,6,20,12,22,3,5,37,1,2,2,2,20,4,3,1,2,1,1,1,1,2,0,16,24 minutes,365,149,514,10950,22078,33028
MH-1106,Mumbai Suburban,Virar,Maharashtra,Semi-Urban,Arogya Nursing Home Virar,31.08.2020,28,7,21,18,1,3,3,1,1,1,5,15,5,19,3,4,29,1,2,2,3,16,3,3,1,1,1,2,1,0,0,2,14,45 minutes,365,149,514,10950,22078,33028
MH-1107,Mumbai Suburban,Panvel,Maharashtra,Urban,Bethany Multispeciality Hospital Panvel,31.08.2020,46,11,35,38,2,5,4,1,1,1,4,18,8,27,4,5,54,1,3,1,2,27,5,3,2,2,1,2,1,1,0,1,18,25 minutes,365,149,514,10950,22078,33028
MH-1108,Mumbai Suburban,Panvel,Maharashtra,Urban,Prime Super Speciality Hospital Panvel,31.08.2020,46,10,36,31,2,6,5,2,1,1,5,22,9,26,2,4,53,1,2,1,2,27,4,4,1,2,1,2,1,0,2,0,17,22 minutes,365,149,514,10950,22078,33028
MH-1109,Mumbai Suburban,Panvel,Maharashtra,Urban,Sparsh Hospital & ICU Panvel,31.08.2020,36,13,23,34,3,3,5,1,1,1,5,19,12,23,3,4,36,1,3,1,2,21,5,3,2,2,1,1,1,1,2,0,18,34 minutes,365,149,514,10950,22078,33028
MH-1110,Mumbai Suburban,Panvel,Maharashtra,Urban,Ekta Health Care Panvel,31.08.2020,58,15,43,43,3,7,4,3,1,1,5,24,14,34,4,7,67,1,2,1,2,34,5,4,1,3,2,3,1,0,1,0,20,27 minutes,365,149,514,10950,22078,33028
MH-1111,Mumbai Suburban,Khopoli,Maharashtra,Rural,Village Health Super Speciality Hospital Khopoli,31.08.2020,15,3,12,12,1,2,1,2,1,1,3,11,3,8,3,1,23,0,1,2,2,9,2,1,1,1,1,1,2,0,1,0,10,43 minutes,365,149,514,10950,22078,33028
MH-1112,Mumbai Suburban,Khopoli,Maharashtra,Rural,Gram Medical Centre Khopoli,31.08.2020,11,3,8,10,1,1,2,1,1,1,2,9,2,9,2,1,15,0,1,2,1,6,3,1,1,1,1,1,1,0,1,2,12,53 minutes,365,149,514,10950,22078,33028
MH-1113,Pune,Pune City,Maharashtra,Urban,Symbiosis Health Care Pune City,31.08.2020,89,36,53,70,9,8,10,6,1,3,12,49,28,47,4,12,90,1,2,1,1,53,6,9,3,7,5,2,1,0,0,0,33,15 minutes,365,149,514,10950,22078,33028
MH-1114,Pune,Pune City,Maharashtra,Urban,Shivneri Super Speciality Hospital Pune City,31.08.2020,118,36,82,82,9,13,16,3,1,3,13,58,29,63,3,5,124,1,1,2,3,70,8,9,2,7,4,2,2,0,2,1,37,11 minutes,365,149,514,10950,22078,33028
MH-1115,Pune,Pune City,Maharashtra,Urban,Galaxy Nursing Home Pune City,31.08.2020,71,19,52,69,4,8,4,4,1,2,7,30,16,39,7,5,76,1,2,2,2,42,7,3,1,3,3,3,1,1,0,1,23,19 minutes,365,149,514,10950,22078,33028
MH-1116,Pune,Pune City,Maharashtra,Urban,Vedant Medical Centre Pune City,31.08.2020,97,22,75,76,5,12,3,5,1,1,8,35,19,48,2,2,107,1,2,1,1,58,7,5,2,4,2,4,1,0,2,1,28,15 minutes,365,149,514,10950,22078,33028
MH-1117,Pune,Pune City,Maharashtra,Urban,Ruby General Hospital Pune City,31.08.2020,82,24,58,79,6,9,8,1,1,1,9,35,20,46,4,12,85,1,2,1,3,49,6,4,1,4,4,1,1,0,2,2,25,12 minutes,365,149,514,10950,22078,33028
MH-1118,Pune,Pune City,Maharashtra,Urban,Noble Hospital & ICU Pune City,31.08.2020,111,24,87,106,6,14,7,11,1,2,10,51,21,55,3,6,116,1,2,1,2,66,8,6,3,4,3,1,1,0,1,1,28,11 minutes,365,149,514,10950,22078,33028
MH-1119,Pune,Pune City,Maharashtra,Urban,Galaxy Hospital Pune City,31.08.2020,110,33,77,103,8,12,7,9,1,2,12,51,28,60,8,12,116,1,2,1,1,66,9,8,1,6,4,5,2,0,2,1,38,13 minutes,365,149,514,10950,22078,33028
MH-1120,Pune,Pune City,Maharashtra,Urban,Central Hospital Pune City,31.08.2020,111,26,85,80,6,14,3,1,1,3,8,36,22,59,3,9,111,1,2,2,1,66,9,7,2,5,4,5,1,1,0,0,34,16 minutes,365,149,514,10950,22078,33028
MH-1121,Pune,Pune City,Maharashtra,Urban,Sapphire Hospital Pune City,31.08.2020,102,19,83,70,4,13,13,2,1,3,8,44,16,54,8,2,112,1,3,1,2,61,7,4,1,3,2,2,2,1,2,2,26,13 minutes,365,149,514,10950,22078,33028
MH-1122,Pune,Pune City,Maharashtra,Urban,Sunrise Medical Centre Pune City,31.08.2020,132,36,96,103,9,16,9,3,1,3,11,52,30,70,2,10,142,1,3,1,1,79,9,9,2,7,4,2,2,1,2,2,40,10 minutes,365,149,514,10950,22078,33028
MH-1123,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Central Hospital Pimpri-Chinchwad,31.08.2020,98,19,79,65,4,13,12,2,1,2,5,39,15,51,3,8,105,1,3,2,1,58,8,5,1,3,3,2,2,0,2,2,28,13 minutes,365,149,514,10950,22078,33028
MH-1124,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Galaxy Multispeciality Hospital Pimpri-Chinchwad,31.08.2020,96,27,69,87,6,11,1,7,1,1,11,38,21,48,8,4,101,1,1,2,3,57,8,6,1,5,4,1,1,0,0,2,28,15 minutes,365,149,514,10950,22078,33028
MH-1125,Pune,Pimpri-Chinchwad,Maharashtra,Urban,City General Hospital Pimpri-Chinchwad,31.08.2020,101,27,74,78,6,12,9,6,1,1,10,45,21,52,6,12,110,1,1,2,2,60,9,6,1,5,3,2,1,1,0,0,28,14 minutes,365,149,514,10950,22078,33028
MH-1126,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Prime Health Care Pimpri-Chinchwad,31.08.2020,104,27,77,89,6,12,11,7,1,1,8,46,22,55,2,3,108,1,1,1,1,62,9,6,3,5,4,4,1,0,2,0,34,13 minutes,365,149,514,10950,22078,33028
MH-1127,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Noble Multispeciality Hospital Pimpri-Chinchwad,31.08.2020,114,19,95,89,4,15,14,2,1,3,6,45,17,62,7,6,121,1,2,1,1,68,8,3,1,3,2,1,1,1,1,1,22,17 minutes,365,149,514,10950,22078,33028
MH-1128,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Multispecialty Medical Centre Pimpri-Chinchwad,31.08.2020,94,21,73,84,5,12,14,8,1,2,6,48,18,49,2,4,99,1,1,1,3,56,7,5,2,4,2,3,2,0,0,1,26,12 minutes,365,149,514,10950,22078,33028
MH-1129,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Multispecialty Hospital Pimpri-Chinchwad,31.08.2020,92,23,69,78,5,11,13,6,1,1,6,43,18,47,8,6,102,1,3,1,3,55,9,5,1,4,2,1,1,1,0,0,24,12 minutes,365,149,514,10950,22078,33028
MH-1130,Pune,Pimpri-Chinchwad,Maharashtra,Urban,Apollo Medical Centre Pimpri-Chinchwad,31.08.2020,84,27,57,59,6,9,8,7,1,3,11,45,22,42,5,11,90,1,1,2,1,50,6,6,2,5,4,2,1,0,2,1,29,14 minutes,365,149,514,10950,22078,33028
MH-1131,Pune,Hadapsar,Maharashtra,Urban,Aarogyam Trauma Centre Hadapsar,31.08.2020,78,14,64,63,3,10,4,1,1,2,4,25,13,43,2,7,83,1,2,2,2,46,8,4,2,2,2,3,1,0,1,2,25,26 minutes,365,149,514,10950,22078,33028
MH-1132,Pune,Hadapsar,Maharashtra,Urban,Criticare Super Speciality Hospital Hadapsar,31.08.2020,19,19,0,17,4,1,2,1,1,1,6,16,15,10,2,5,27,0,3,1,1,19,4,4,2,3,2,1,1,1,2,2,22,47 minutes,365,149,514,10950,22078,33028
MH-1133,Pune,Hadapsar,Maharashtra,Urban,Lilavati Nursing Home Hadapsar,31.08.2020,85,16,69,80,4,11,3,3,1,1,6,29,12,43,6,4,85,1,3,2,1,51,7,5,1,3,2,3,1,1,0,0,23,20 minutes,365,149,514,10950,22078,33028
MH-1134,Pune,Hadapsar,Maharashtra,Urban,Care Medical Trust Hadapsar,31.08.2020,74,16,58,65,4,9,5,2,1,1,4,26,13,38,3,7,84,1,2,2,1,44,7,5,2,3,2,2,2,1,2,2,28,16 minutes,365,149,514,10950,22078,33028
MH-1135,Pune,Hadapsar,Maharashtra,Urban,Nanavati Hospital Hadapsar,31.08.2020,84,19,65,70,4,10,4,2,1,2,7,30,17,46,2,8,86,1,2,1,1,50,7,4,1,3,2,3,2,0,1,0,23,10 minutes,365,149,514,10950,22078,33028
MH-1136,Pune,Kothrud,Maharashtra,Urban,Aditya Health Care Kothrud,31.08.2020,71,11,60,66,2,10,6,3,1,1,3,26,9,38,5,3,79,1,2,1,2,42,7,4,1,2,1,4,1,0,1,0,21,27 minutes,365,149,514,10950,22078,33028
MH-1137,Pune,Kothrud,Maharashtra,Urban,Galaxy Multispeciality Hospital Kothrud,31.08.2020,68,16,52,66,4,8,9,6,1,3,6,37,13,38,6,8,68,1,2,1,3,40,6,3,1,3,2,3,1,0,1,2,22,22 minutes,365,149,514,10950,22078,33028
MH-1138,Pune,Kothrud,Maharashtra,Urban,Lotus General Hospital Kothrud,31.08.2020,73,19,54,56,4,9,5,1,1,2,5,27,16,37,2,6,73,1,2,1,2,43,7,5,2,3,2,1,1,0,0,2,23,30 minutes,365,149,514,10950,22078,33028
MH-1139,Pune,Kothrud,Maharashtra,Urban,Bethany Trauma Centre Kothrud,31.08.2020,59,10,49,57,2,8,1,2,1,1,3,18,10,33,5,2,64,1,2,2,1,35,5,2,2,2,2,2,2,0,1,2,20,28 minutes,365,149,514,10950,22078,33028
MH-1140,Pune,Hinjewadi,Maharashtra,Urban,Central General Hospital Hinjewadi,31.08.2020,57,18,39,40,4,6,3,2,1,1,6,23,14,31,5,9,67,1,2,1,2,34,5,3,2,3,2,3,1,0,1,0,20,17 minutes,365,149,514,10950,22078,33028
MH-1141,Pune,Hinjewadi,Maharashtra,Urban,Wockhardt Medical Trust Hinjewadi,31.08.2020,58,17,41,38,4,6,7,1,1,2,6,27,13,33,4,6,59,1,1,2,3,34,5,5,2,3,3,3,2,0,2,2,27,18 minutes,365,149,514,10950,22078,33028
MH-1142,Pune,Hinjewadi,Maharashtra,Urban,Aditya Hospital & ICU Hinjewadi,31.08.2020,53,18,35,50,4,5,6,4,1,1,8,29,15,30,4,7,57,1,2,2,3,31,6,4,1,3,2,2,2,0,2,2,24,16 minutes,365,149,514,10950,22078,33028
MH-1143,Pune,Wakad,Maharashtra,Semi-Urban,Jan Hospital Wakad,31.08.2020,22,9,13,17,2,2,1,2,1,1,4,13,7,13,3,3,26,1,2,1,1,13,2,2,1,1,2,2,2,0,0,1,13,36 minutes,365,149,514,10950,22078,33028
MH-1144,Pune,Wakad,Maharashtra,Semi-Urban,Health Medical Centre Wakad,31.08.2020,37,10,27,26,2,4,3,2,1,2,6,20,10,21,2,5,46,1,1,1,1,22,3,2,1,2,1,2,1,1,2,0,15,41 minutes,365,149,514,10950,22078,33028
MH-1145,Pune,Wakad,Maharashtra,Semi-Urban,Central General Hospital Wakad,31.08.2020,43,12,31,29,3,5,2,2,1,1,4,18,9,24,4,5,48,1,2,1,2,25,5,4,1,2,2,1,2,0,0,2,19,15 minutes,365,149,514,10950,22078,33028
MH-1146,Pune,Baramati,Maharashtra,Semi-Urban,Community Trauma Centre Baramati,31.08.2020,23,11,12,23,2,2,2,2,1,1,3,13,9,12,2,5,23,1,1,2,3,13,3,4,2,2,2,2,2,1,1,0,19,41 minutes,365,149,514,10950,22078,33028
MH-1147,Pune,Baramati,Maharashtra,Semi-Urban,Health Health Care Baramati,31.08.2020,33,11,22,25,2,3,2,1,1,2,5,16,10,20,3,3,43,1,1,2,1,19,4,3,2,2,2,2,2,0,0,2,19,43 minutes,365,149,514,10950,22078,33028
MH-1148,Pune,Baramati,Maharashtra,Semi-Urban,District Multispeciality Hospital Baramati,31.08.2020,36,10,26,32,2,4,2,2,1,1,6,18,9,21,3,4,36,1,3,1,2,21,5,4,1,2,2,2,2,0,2,2,22,43 minutes,365,149,514,10950,22078,33028
MH-1149,Pune,Baramati,Maharashtra,Semi-Urban,Municipal Medical Centre Baramati,31.08.2020,24,9,15,22,2,2,3,1,1,1,3,13,9,14,2,2,29,1,1,2,2,14,3,2,1,1,2,2,1,1,0,2,15,41 minutes,365,149,514,10950,22078,33028
MH-1150,Pune,Shirur,Maharashtra,Semi-Urban,Taluka Health Care Shirur,31.08.2020,25,5,20,25,1,3,1,1,1,1,3,11,4,13,2,2,31,1,3,2,1,15,3,3,1,1,1,2,2,0,1,2,16,38 minutes,365,149,514,10950,22078,33028
MH-1151,Pune,Shirur,Maharashtra,Semi-Urban,Central Health Care Shirur,31.08.2020,18,6,12,17,1,2,1,1,1,1,3,10,4,13,3,4,24,0,2,2,2,10,2,1,1,1,1,1,2,0,0,2,11,33 minutes,365,149,514,10950,22078,33028
MH-1152,Pune,Shirur,Maharashtra,Semi-Urban,Seva Hospital Shirur,31.08.2020,26,4,22,24,1,3,1,1,1,1,2,10,3,13,3,2,33,1,3,2,2,15,4,1,1,1,1,2,1,0,1,0,12,38 minutes,365,149,514,10950,22078,33028
MH-1153,Pune,Indapur,Maharashtra,Rural,Block Hospital Indapur,31.08.2020,16,3,13,11,1,2,1,2,1,1,2,10,4,8,3,2,24,0,3,1,3,9,2,2,1,1,1,1,1,1,1,1,12,39 minutes,365,149,514,10950,22078,33028
MH-1154,Pune,Indapur,Maharashtra,Rural,Taluka Super Speciality Hospital Indapur,31.08.2020,17,3,14,13,1,2,2,2,1,1,2,11,3,12,2,2,18,0,3,1,2,10,2,1,1,1,1,1,2,0,1,2,12,59 minutes,365,149,514,10950,22078,33028
MH-1155,Pune,Indapur,Maharashtra,Rural,Swasthya Hospital Indapur,31.08.2020,25,4,21,20,1,3,2,1,1,1,2,11,3,12,2,3,26,1,1,2,1,15,2,2,1,1,1,2,1,1,1,1,13,29 minutes,365,149,514,10950,22078,33028
MH-1156,Pune,Bhor,Maharashtra,Rural,Public Super Speciality Hospital Bhor,31.08.2020,14,2,12,11,1,2,2,2,1,1,3,12,3,7,2,1,14,0,1,1,2,8,2,1,1,1,1,1,2,0,0,1,10,55 minutes,365,149,514,10950,22078,33028
MH-1157,Pune,Bhor,Maharashtra,Rural,Rural Multispeciality Hospital Bhor,31.08.2020,13,1,12,12,1,2,1,2,1,1,2,10,1,7,2,1,14,0,2,2,3,7,3,1,1,1,1,1,1,0,1,1,11,50 minutes,365,149,514,10950,22078,33028
MH-1158,Pune,Maval,Maharashtra,Rural,Swasthya Super Speciality Hospital Maval,31.08.2020,15,2,13,10,1,2,1,1,1,1,3,10,3,12,2,2,23,0,3,1,2,9,4,2,1,1,1,1,2,0,2,2,16,57 minutes,365,149,514,10950,22078,33028
MH-1159,Pune,Maval,Maharashtra,Rural,Gram General Hospital Maval,31.08.2020,16,3,13,14,1,2,1,2,1,1,2,10,2,10,3,1,24,0,1,2,2,9,2,1,1,1,1,1,1,1,1,1,11,31 minutes,365,149,514,10950,22078,33028
MH-1160,Pune,Mulshi,Maharashtra,Rural,Government Nursing Home Mulshi,31.08.2020,10,2,8,10,1,1,1,1,1,1,2,8,3,9,3,1,20,0,3,2,2,6,2,1,1,1,1,1,2,1,2,1,13,56 minutes,365,149,514,10950,22078,33028
MH-1161,Pune,Mulshi,Maharashtra,Rural,Rural General Hospital Mulshi,31.08.2020,7,2,5,5,1,1,1,2,1,1,2,9,3,5,2,1,9,0,2,1,3,4,3,2,1,1,1,1,1,0,0,1,11,31 minutes,365,149,514,10950,22078,33028
MH-1162,Pune,Junnar,Maharashtra,Rural,Gram Medical Trust Junnar,31.08.2020,14,5,9,10,1,1,1,2,1,1,4,11,4,10,3,3,23,0,3,1,2,8,2,3,1,1,1,1,1,0,2,0,12,59 minutes,365,149,514,10950,22078,33028
MH-1163,Pune,Junnar,Maharashtra,Rural,Taluka Super Speciality Hospital Junnar,31.08.2020,12,3,9,9,1,1,1,2,1,1,2,9,3,8,3,1,14,0,2,2,3,7,3,1,1,1,1,1,2,1,2,0,13,48 minutes,365,149,514,10950,22078,33028
MH-1164,Pune,Khed,Maharashtra,Rural,Block Trauma Centre Khed,31.08.2020,12,2,10,9,1,1,2,1,1,1,2,9,3,11,3,2,12,0,3,1,1,7,2,1,1,1,1,1,2,0,1,2,12,31 minutes,365,149,514,10950,22078,33028
MH-1165,Pune,Khed,Maharashtra,Rural,Village Health Nursing Home Khed,31.08.2020,17,3,14,13,1,2,2,1,1,1,2,10,4,13,2,2,20,0,3,2,3,10,4,1,1,1,1,1,2,0,0,2,13,54 minutes,365,149,514,10950,22078,33028
MH-1166,Pune,Ambegaon,Maharashtra,Rural,Government Super Speciality Hospital Ambegaon,31.08.2020,8,1,7,7,1,1,1,1,1,1,2,8,2,5,3,2,10,0,3,1,1,4,2,2,1,1,1,1,2,1,2,1,14,52 minutes,365,149,514,10950,22078,33028
MH-1167,Pune,Ambegaon,Maharashtra,Rural,Block Nursing Home Ambegaon,31.08.2020,11,3,8,9,1,1,2,1,1,1,2,9,4,5,3,2,20,0,3,2,1,6,3,1,1,1,1,1,1,1,2,2,14,40 minutes,365,149,514,10950,22078,33028
MH-1168,Pune,Haveli,Maharashtra,Semi-Urban,Township Hospital Haveli,31.08.2020,31,7,24,19,1,4,3,1,1,2,5,17,7,19,3,1,32,1,3,2,2,18,3,3,1,1,1,2,2,0,1,1,15,29 minutes,365,149,514,10950,22078,33028
MH-1169,Pune,Haveli,Maharashtra,Semi-Urban,Community Medical Centre Haveli,31.08.2020,28,9,19,20,2,3,2,1,1,1,4,14,7,14,2,5,36,1,1,1,1,16,4,3,1,1,2,1,1,1,2,0,16,22 minutes,365,149,514,10950,22078,33028
MH-1170,Pune,Haveli,Maharashtra,Semi-Urban,Cooperative Trauma Centre Haveli,31.08.2020,36,11,25,28,2,4,5,1,1,1,3,17,8,22,2,3,42,1,2,2,3,21,4,3,2,2,1,2,1,0,2,2,19,23 minutes,365,149,514,10950,22078,33028
MH-1171,Nashik,Nashik City,Maharashtra,Urban,Ruby Hospital Nashik City,31.08.2020,87,16,71,82,4,11,13,6,1,1,5,41,13,46,5,7,97,1,1,2,1,52,8,3,1,3,3,5,2,0,1,2,28,10 minutes,365,149,514,10950,22078,33028
MH-1172,Nashik,Nashik City,Maharashtra,Urban,Galaxy Medical Centre Nashik City,31.08.2020,59,13,46,42,3,7,1,5,1,2,3,22,10,31,3,6,64,1,1,2,3,35,6,2,1,2,1,1,2,0,0,0,15,23 minutes,365,149,514,10950,22078,33028
MH-1173,Nashik,Nashik City,Maharashtra,Urban,Sparsh General Hospital Nashik City,31.08.2020,87,23,64,56,5,10,5,3,1,3,8,35,19,45,3,11,97,1,1,1,2,52,8,4,1,4,3,4,2,1,2,2,31,12 minutes,365,149,514,10950,22078,33028
MH-1174,Nashik,Nashik City,Maharashtra,Urban,Sunrise Health Care Nashik City,31.08.2020,73,21,52,66,5,8,2,2,1,3,6,27,18,41,7,7,77,1,2,1,3,43,7,5,2,4,3,4,2,1,1,2,31,21 minutes,365,149,514,10950,22078,33028
MH-1175,Nashik,Nashik City,Maharashtra,Urban,Unity Trauma Centre Nashik City,31.08.2020,96,17,79,92,4,13,12,5,1,2,8,45,15,48,2,9,106,1,1,2,3,57,7,3,2,3,3,2,2,1,0,2,25,11 minutes,365,149,514,10950,22078,33028
MH-1176,Nashik,Nashik City,Maharashtra,Urban,Central Hospital & ICU Nashik City,31.08.2020,74,13,61,53,3,10,2,3,1,2,4,25,10,41,7,2,82,1,1,2,1,44,5,4,1,2,2,3,1,0,1,0,19,26 minutes,365,149,514,10950,22078,33028
MH-1177,Nashik,Nashik City,Maharashtra,Urban,Bethany Nursing Home Nashik City,31.08.2020,80,10,70,78,2,11,7,4,1,3,6,34,8,45,4,1,88,1,3,2,3,48,7,4,1,2,2,4,2,0,2,1,25,17 minutes,365,149,514,10950,22078,33028
MH-1178,Nashik,Malegaon,Maharashtra,Urban,Lifeline Medical Trust Malegaon,31.08.2020,25,11,14,25,2,2,1,2,1,1,6,15,10,13,3,2,28,1,1,2,1,15,2,2,1,2,2,1,1,1,1,2,15,25 minutes,365,149,514,10950,22078,33028
MH-1179,Nashik,Malegaon,Maharashtra,Urban,Aarogyam Super Speciality Hospital Malegaon,31.08.2020,31,8,23,28,2,3,3,1,1,1,5,16,6,16,2,2,41,1,3,1,3,18,3,1,1,1,2,1,2,0,2,2,15,25 minutes,365,149,514,10950,22078,33028
MH-1180,Nashik,Malegaon,Maharashtra,Urban,Nanavati Health Care Malegaon,31.08.2020,47,10,37,43,2,6,1,2,1,2,4,18,10,24,4,6,55,1,2,1,3,28,6,3,2,2,1,1,2,1,0,0,18,30 minutes,365,149,514,10950,22078,33028
MH-1181,Nashik,Malegaon,Maharashtra,Urban,Fortis Multispeciality Hospital Malegaon,31.08.2020,36,12,24,22,3,4,4,2,1,1,6,21,11,22,2,1,43,1,3,1,3,21,5,2,2,2,2,2,1,1,0,1,18,35 minutes,365,149,514,10950,22078,33028
MH-1182,Nashik,Igatpuri,Maharashtra,Semi-Urban,Jan Trauma Centre Igatpuri,31.08.2020,14,6,8,14,1,1,1,2,1,1,3,10,5,11,3,3,17,0,1,1,3,8,3,1,1,1,1,1,2,1,1,0,12,43 minutes,365,149,514,10950,22078,33028
MH-1183,Nashik,Igatpuri,Maharashtra,Semi-Urban,Arogya Nursing Home Igatpuri,31.08.2020,19,4,15,13,1,2,1,1,1,1,4,11,3,12,3,1,24,0,3,2,2,11,3,2,1,1,1,1,1,0,1,2,13,55 minutes,365,149,514,10950,22078,33028
MH-1184,Nashik,Igatpuri,Maharashtra,Semi-Urban,Township Hospital Igatpuri,31.08.2020,18,3,15,18,1,2,2,1,1,1,3,11,2,12,2,1,20,0,2,2,1,10,2,1,1,1,1,1,1,1,1,2,12,36 minutes,365,149,514,10950,22078,33028
MH-1185,Nashik,Niphad,Maharashtra,Semi-Urban,Seva Medical Centre Niphad,31.08.2020,14,6,8,10,1,1,2,2,1,1,2,10,5,8,2,2,23,0,1,1,2,8,2,3,1,1,1,1,2,1,1,2,15,59 minutes,365,149,514,10950,22078,33028
MH-1186,Nashik,Niphad,Maharashtra,Semi-Urban,Arogya Trauma Centre Niphad,31.08.2020,22,5,17,14,1,2,3,2,1,1,2,12,6,13,3,2,25,1,3,1,2,13,3,3,1,1,1,1,2,0,2,0,14,28 minutes,365,149,514,10950,22078,33028
MH-1187,Nashik,Niphad,Maharashtra,Semi-Urban,Cooperative Trauma Centre Niphad,31.08.2020,16,6,10,12,1,1,1,1,1,1,4,10,5,13,3,4,25,0,2,1,2,9,3,3,1,1,1,1,1,1,0,1,13,47 minutes,365,149,514,10950,22078,33028
MH-1188,Nashik,Dindori,Maharashtra,Rural,Block Hospital & ICU Dindori,31.08.2020,17,5,12,16,1,2,1,1,1,1,2,9,5,8,3,3,22,0,1,1,2,10,3,2,1,1,1,1,1,1,2,0,13,56 minutes,365,149,514,10950,22078,33028
